config_id,user_id,collection_location,created_date,days_since_signup,provider,model,connection_name,is_primary_config,input_price_per_1m_usd,output_price_per_1m_usd,monthly_budget_usd,key_auto_detected_flag,custom_base_url_flag,validation_attempts,validation_success_flag,connection_latency_ms,config_status,key_rotations,last_rotation_date,first_session_date,days_to_first_session,total_sessions,total_interactions,total_input_tokens,total_output_tokens,total_llm_cost_usd,avg_efficiency_ratio,avg_waste_index,avg_cri,max_cri,adversarial_tests_run,last_used_date,config_age_days
cfg_00001,usr_00001,Outside Campus,2026-03-02,1,Anthropic,claude-sonnet-5,Anthropic Primary-4,1,3.0,15.0,250,1,0,1,1,131,active,0,,,,0,0,0,0,0.0,0,0,0,0.0,0,,202
cfg_00002,usr_00002,Outside Campus,2026-03-02,1,OpenRouter,auto/router,OpenRouter Primary-5,1,0.6,2.4,1000,1,0,1,1,90,dormant,0,,2026-03-04,2,45,932,2853832,1126827,4.4167,0.7165,0.4832,0.2117,0.5169961753857812,5,2026-07-16,202
cfg_00003,usr_00002,Outside Campus,2026-03-25,24,DeepSeek,deepseek-v4,DeepSeek Backup-6,0,0.3,1.2,100,1,0,1,1,192,dormant,0,,2026-03-04,,6,168,273478,166130,0.2814,0.7572,0.4789,0.2638,0.5318986704451263,0,2026-07-12,179
cfg_00004,usr_00004,DSU Campus,2026-03-04,2,Anthropic,claude-opus-5,Anthropic Primary-6,1,3.0,15.0,50,1,0,1,1,128,dormant,1,,2026-03-04,0,33,723,2333898,640730,16.6128,0.8051,0.3888,0.191,0.8570023491973839,2,2026-07-02,200
cfg_00005,usr_00004,DSU Campus,2026-03-11,9,DeepSeek,deepseek-v4,DeepSeek Backup-1,0,0.3,1.2,100,1,0,1,1,400,dormant,0,,2026-03-04,,8,160,480396,269778,0.4677,0.7203,0.4605,0.1907,0.2375128725156592,1,2026-07-08,193
cfg_00006,usr_00008,Outside Campus,2026-03-07,1,Anthropic,claude-opus-5,Anthropic Primary-8,1,3.0,15.0,500,1,1,1,1,204,dormant,0,,2026-03-12,5,8,190,753593,196540,5.209,0.8244,0.4323,0.1849,0.230114270302967,1,2026-04-09,197
cfg_00007,usr_00008,Outside Campus,2026-03-26,20,Google AI (Gemini),gemini-3-flash,Google Backup-4,0,1.0,6.0,1000,1,0,2,1,113,dormant,0,,,,0,0,0,0,0.0,0,0,0,0.0,0,,178
cfg_00008,usr_00009,Outside Campus,2026-03-08,2,OpenAI,gpt-5,OpenAI Primary-3,1,1.25,10.0,100,1,0,1,1,160,dormant,0,,2026-03-08,0,9,236,570017,190371,2.6162,0.7847,0.3863,0.2334,0.7064672628727595,2,2026-03-26,196
cfg_00009,usr_00011,Outside Campus,2026-03-03,0,Anthropic,claude-sonnet-5,Anthropic Primary-8,1,3.0,15.0,100,0,0,1,1,122,active,0,,2026-03-03,0,36,682,1676142,872315,18.1134,0.7628,0.4463,0.1792,0.27606364542982087,6,2026-08-27,201
cfg_00010,usr_00012,Outside Campus,2026-03-05,0,Anthropic,claude-opus-5,Anthropic Primary-5,1,3.0,15.0,100,0,0,1,1,139,dormant,0,,2026-03-05,0,9,239,567799,488329,9.0283,0.7617,0.4361,0.1956,0.3073507738474071,2,2026-03-29,199
