month,collection_location,website_visitors,new_signups,activations,activation_rate_pct,total_sessions,mau,power_users,sessions_per_active_user,avg_cognitive_waste_index,avg_cri
2026-03,DSU Campus,566,37,22,59.5,94,18,3,5.22,0.415,0.183
2026-03,Outside Campus,1256,87,58,66.7,298,50,18,5.96,0.434,0.206
2026-04,DSU Campus,635,50,22,44.0,243,37,17,6.57,0.425,0.201
2026-04,Outside Campus,1599,95,57,60.0,680,100,42,6.8,0.446,0.211
2026-05,DSU Campus,863,65,34,52.3,345,55,17,6.27,0.414,0.198
2026-05,Outside Campus,2013,141,76,53.9,1110,152,64,7.3,0.429,0.202
2026-06,DSU Campus,906,58,28,48.3,575,80,31,7.19,0.42,0.207
2026-06,Outside Campus,2186,155,87,56.1,1451,199,91,7.29,0.425,0.199
2026-07,DSU Campus,1125,79,42,53.2,712,99,41,7.19,0.431,0.204
2026-07,Outside Campus,2671,185,114,61.6,1896,258,111,7.35,0.429,0.204
2026-08,DSU Campus,1207,88,38,43.2,840,115,54,7.3,0.425,0.204
2026-08,Outside Campus,2767,185,115,62.2,2355,314,148,7.5,0.431,0.205
2026-09,DSU Campus,867,75,40,53.3,740,133,31,5.56,0.431,0.202
2026-09,Outside Campus,2070,140,80,57.1,2046,335,103,6.11,0.429,0.204
