cohort_month,week_number,cohort_size,active_users,retention_pct
2026-03,0,80,70,87.5
2026-03,1,80,72,90.0
2026-03,2,80,62,77.5
2026-03,3,80,58,72.5
2026-03,4,80,48,60.0
2026-03,5,80,45,56.2
2026-03,6,80,44,55.0
2026-03,7,80,37,46.2
2026-03,8,80,35,43.8
2026-03,9,80,30,37.5
2026-03,10,80,31,38.8
2026-03,11,80,27,33.8
2026-03,12,80,26,32.5
2026-04,0,79,75,94.9
2026-04,1,79,66,83.5
2026-04,2,79,63,79.7
2026-04,3,79,57,72.2
2026-04,4,79,41,51.9
2026-04,5,79,48,60.8
2026-04,6,79,45,57.0
2026-04,7,79,39,49.4
2026-04,8,79,37,46.8
2026-04,9,79,33,41.8
2026-04,10,79,35,44.3
2026-04,11,79,27,34.2
2026-04,12,79,22,27.8
2026-05,0,110,103,93.6
2026-05,1,110,92,83.6
2026-05,2,110,88,80.0
2026-05,3,110,80,72.7
2026-05,4,110,72,65.5
2026-05,5,110,66,60.0
2026-05,6,110,58,52.7
2026-05,7,110,55,50.0
2026-05,8,110,45,40.9
2026-05,9,110,41,37.3
2026-05,10,110,36,32.7
2026-05,11,110,33,30.0
2026-05,12,110,34,30.9
2026-06,0,115,109,94.8
2026-06,1,115,100,87.0
2026-06,2,115,84,73.0
2026-06,3,115,77,67.0
2026-06,4,115,65,56.5
2026-06,5,115,64,55.7
2026-06,6,115,63,54.8
2026-06,7,115,60,52.2
2026-06,8,115,47,40.9
2026-06,9,115,40,34.8
2026-06,10,115,44,38.3
2026-06,11,115,43,37.4
2026-06,12,115,38,33.0
2026-07,0,156,143,91.7
2026-07,1,156,137,87.8
2026-07,2,156,131,84.0
2026-07,3,156,122,78.2
2026-07,4,156,113,72.4
2026-07,5,156,100,64.1
2026-07,6,156,96,61.5
2026-07,7,156,76,48.7
2026-07,8,156,54,34.6
2026-07,9,156,31,19.9
2026-07,10,156,19,12.2
2026-07,11,156,11,7.1
2026-08,0,153,140,91.5
2026-08,1,153,130,85.0
2026-08,2,153,125,81.7
2026-08,3,153,102,66.7
2026-08,4,153,74,48.4
2026-08,5,153,40,26.1
2026-08,6,153,21,13.7
2026-08,7,153,0,0.0
2026-09,0,120,109,90.8
2026-09,1,120,57,47.5
2026-09,2,120,18,15.0
