visitor_id,first_visit_date,collection_location,acquisition_channel,utm_source,utm_medium,utm_campaign,landing_page,referrer_domain,device_category,device_os,browser,country,region,city,language,visit_count,is_returning_visitor,pageviews_total,pages_per_session,session_count,avg_session_duration_sec,total_time_on_site_sec,bounced_flag,viewed_pricing_flag,viewed_docs_flag,viewed_demo_flag,cta_getstarted_clicked,signed_up_flag,signup_user_id,days_to_signup,cohort_week
vis_000001,2026-03-01,DSU Campus,direct,(direct),none,none,/,(direct),desktop,macOS,Safari,India,Karnataka,Bengaluru,en-IN,1,0,1,1.0,1,74,74,1,0,0,0,0,0,,,2026-W09
vis_000002,2026-03-01,Outside Campus,organic_search,organic_search,organic,none,/docs,google.com,desktop,macOS,Chrome,United States,California,San Francisco,en-US,2,1,2,1.0,2,34,68,0,1,0,0,0,0,,,2026-W09
vis_000003,2026-03-01,Outside Campus,linkedin,linkedin,social,b2b_mlsops_q2,/features,linkedin.com,desktop,Windows,Chrome,United States,California,San Francisco,en-US,1,1,3,3.0,1,137,137,0,1,0,0,0,0,,,2026-W09
vis_000004,2026-03-01,DSU Campus,social_twitter,social_twitter,social,llm_observability_buzz,/blog/llm-observability-guide,t.co,tablet,Android,Safari,India,Karnataka,Bengaluru,en-IN,1,0,4,4.0,1,151,151,0,1,0,0,0,0,,,2026-W09
vis_000005,2026-03-01,Outside Campus,linkedin,linkedin,social,b2b_mlsops_q2,/blog/llm-observability-guide,linkedin.com,desktop,macOS,Safari,United States,California,San Francisco,en-US,1,0,3,3.0,1,170,170,0,0,1,1,0,0,,,2026-W09
vis_000006,2026-03-01,Outside Campus,paid_search,paid_search,cpc,brand_llm_monitoring,/blog/zero-trust-llm-security,google.com,desktop,Windows,Firefox,Israel,Tel Aviv,Tel Aviv,he,1,0,3,3.0,1,226,226,0,0,0,0,0,0,,,2026-W09
vis_000007,2026-03-01,Outside Campus,social_twitter,social_twitter,social,llm_observability_buzz,/blog/zero-trust-llm-security,t.co,desktop,Windows,Firefox,Germany,Bavaria,Munich,de,2,1,6,3.0,2,576,1152,0,1,0,1,0,0,,,2026-W09
vis_000008,2026-03-01,Outside Campus,organic_search,organic_search,organic,none,/,google.com,desktop,macOS,Chrome,United Kingdom,England,London,en-GB,1,0,2,2.0,1,200,200,0,0,0,0,0,0,,,2026-W09
vis_000009,2026-03-01,DSU Campus,organic_search,organic_search,organic,none,/blog/cognitive-waste-index,google.com,desktop,macOS,Chrome,India,Karnataka,Bengaluru,en-IN,2,1,1,0.5,2,42,84,1,0,0,0,0,0,,,2026-W09
vis_000010,2026-03-01,DSU Campus,social_twitter,social_twitter,social,llm_observability_buzz,/blog/zero-trust-llm-security,t.co,desktop,macOS,Chrome,India,Karnataka,Bengaluru,en-IN,1,0,3,3.0,1,346,346,0,1,0,0,0,0,,,2026-W09
vis_000011,2026-03-01,Outside Campus,social_twitter,social_twitter,social,llm_observability_buzz,/blog/llm-observability-guide,t.co,desktop,Windows,Edge,United States,California,San Francisco,en-US,1,0,2,2.0,1,244,244,0,0,1,0,0,0,,,2026-W09
vis_000012,2026-03-01,DSU Campus,referral,referral,referral,partner_aiweekly,/,google.com,mobile,Android,Chrome,India,Karnataka,Bengaluru,en-IN,1,0,3,3.0,1,231,231,0,0,1,0,0,0,,,2026-W09
vis_000013,2026-03-01,DSU Campus,social_twitter,social_twitter,social,llm_observability_buzz,/pricing,t.co,mobile,iOS,Chrome,India,Karnataka,Bengaluru,en-IN,1,0,5,5.0,1,309,309,0,1,0,0,0,0,,,2026-W09
vis_000014,2026-03-01,Outside Campus,paid_search,paid_search,cpc,brand_llm_monitoring,/blog/zero-trust-llm-security,google.com,mobile,Android,Safari,United States,California,San Francisco,en-US,3,1,2,0.67,3,73,219,0,0,0,0,0,0,,,2026-W09
vis_000015,2026-03-01,DSU Campus,referral,referral,referral,partner_aiweekly,/,google.com,desktop,Linux,Safari,India,Karnataka,Bengaluru,en-IN,1,1,1,1.0,1,30,30,1,0,0,0,0,0,,,2026-W09
vis_000016,2026-03-01,DSU Campus,social_twitter,social_twitter,social,llm_observability_buzz,/blog/zero-trust-llm-security,t.co,desktop,macOS,Chrome,India,Karnataka,Bengaluru,en-IN,1,0,3,3.0,1,158,158,0,1,0,0,0,0,,,2026-W09
vis_000017,2026-03-01,DSU Campus,organic_search,organic_search,organic,none,/,google.com,desktop,macOS,Firefox,India,Karnataka,Bengaluru,en-IN,1,0,3,3.0,1,482,482,0,0,1,0,0,0,,,2026-W09
vis_000018,2026-03-01,Outside Campus,organic_search,organic_search,organic,none,/features,google.com,mobile,Android,Edge,United States,California,San Francisco,en-US,1,0,4,4.0,1,21,21,0,0,1,0,1,0,,,2026-W09
